cluster,n_cells,pct_not_annotated,shannon_entropy_species,icc_species_fraction,human_majority_annotation,human_majority_frac,mouse_majority_annotation,mouse_majority_frac,global_majority_annotation,global_majority_frac
0,2505,1.0,0.0,0.0,,,,,,0.0
1,2449,0.01837484687627603,0.1322158875698886,0.0,Upper-layer intratelencephalic,0.9197171381031614,,,Upper-layer intratelencephalic,0.9197171381031614
2,2407,1.0,0.0,0.0,,,,,,0.0
3,2300,1.0,0.0,0.0,,,,,,0.0
4,1992,0.31877510040160645,0.9030444477773253,0.0,CGE interneuron,0.9403095062638173,,,CGE interneuron,0.9403095062638173
5,1951,1.0,0.0,0.0,,,,,,0.0
6,1881,0.44976076555023925,0.9927050272181983,0.0,Oligodendrocyte precursor,0.5101449275362319,,,Oligodendrocyte precursor,0.5101449275362319
7,1870,0.0032085561497326204,0.03120076405847207,0.0,Deep-layer intratelencephalic,0.6266094420600858,,,Deep-layer intratelencephalic,0.6266094420600858
8,1861,0.999462654486835,0.006611590380789147,0.0,Deep-layer near-projecting,1.0,,,Deep-layer near-projecting,1.0
9,1847,0.4038982133188955,0.9731852784405988,0.0,MGE interneuron,0.7048138056312443,,,MGE interneuron,0.7048138056312443
10,1709,1.0,0.0,0.0,,,,,,0.0
11,1408,0.2961647727272727,0.8765520972678125,0.0,MGE interneuron,0.9253279515640767,,,MGE interneuron,0.9253279515640767
12,1359,0.010301692420897719,0.08278659568205776,0.0,Radial Glia,0.7695167286245354,,,Radial Glia,0.7695167286245354
13,1323,1.0,0.0,0.0,,,,,,0.0
14,1318,0.19195751138088013,0.7055485085792057,0.0,Medium spiny neuron,0.4262910798122066,,,Medium spiny neuron,0.4262910798122066
15,1301,1.0,0.0,0.0,,,,,,0.0
16,1290,0.08527131782945736,0.420485955968157,0.0,Amygdala excitatory,0.44745762711864406,,,Amygdala excitatory,0.44745762711864406
17,1216,0.6825657894736842,0.9015694022923214,0.0,Astrocyte,0.9559585492227979,,,Astrocyte,0.9559585492227979
18,1214,1.0,0.0,0.0,,,,,,0.0
19,1110,0.0009009009009009009,0.01041296301284098,0.0,Neuron,0.5960324616771867,,,Neuron,0.5960324616771867
20,1078,0.9517625231910947,0.2788621757801731,0.0,Vascular,1.0,,,Vascular,1.0
21,1075,0.053023255813953486,0.2991032978605919,0.0,Oligodendrocyte,0.8163064833005894,,,Oligodendrocyte,0.8163064833005894
22,930,0.046236559139784944,0.27018972804137886,0.0,Deep-layer near-projecting,0.5794813979706878,,,Deep-layer near-projecting,0.5794813979706878
23,844,0.14336492890995262,0.5929838690082704,0.0,Neuronal IPC,0.4854771784232365,,,Neuronal IPC,0.4854771784232365
24,843,0.027283511269276393,0.18058027220687822,0.0,Neuroblast,0.6097560975609756,,,Neuroblast,0.6097560975609756
25,779,0.15789473684210525,0.6292492238560347,0.0,LAMP5-LHX6 and Chandelier,0.5914634146341463,,,LAMP5-LHX6 and Chandelier,0.5914634146341463
26,756,0.021164021164021163,0.14792723800140206,0.0,Deep-layer corticothalamic and 6b,0.9891891891891892,,,Deep-layer corticothalamic and 6b,0.9891891891891892
27,737,0.005427408412483039,0.04865288304068146,0.0,Neuron,0.9195088676671214,,,Neuron,0.9195088676671214
28,731,0.16826265389876882,0.6537149935852329,0.0,Microglia,0.9851973684210527,,,Microglia,0.9851973684210527
29,718,0.06128133704735376,0.3325104882288818,0.0,Fibroblast,0.9940652818991098,,,Fibroblast,0.9940652818991098
30,689,0.001451378809869376,0.015776498923386527,0.0,Glioblast,0.815406976744186,,,Glioblast,0.815406976744186
31,547,0.05850091407678245,0.32146513912464236,0.0,Radial Glia,0.6213592233009708,,,Radial Glia,0.6213592233009708
32,536,0.033582089552238806,0.21204937133912227,0.0,Neuroblast,0.5733590733590733,,,Neuroblast,0.5733590733590733
33,531,0.0,0.0,0.0,Upper-layer intratelencephalic,0.9585687382297552,,,Upper-layer intratelencephalic,0.9585687382297552
34,529,1.0,0.0,0.0,,,,,,0.0
35,485,0.9731958762886598,0.17810230690000908,0.0,Miscellaneous,0.5384615384615384,,,Miscellaneous,0.5384615384615384
36,480,0.8354166666666667,0.645162453703489,0.0,Astrocyte,0.7721518987341772,,,Astrocyte,0.7721518987341772
37,417,0.03357314148681055,0.21200599933056938,0.0,Hippocampal CA1-3,0.5955334987593052,,,Hippocampal CA1-3,0.5955334987593052
38,369,0.989159891598916,0.08631245694090127,0.0,Astrocyte,0.5,,,Astrocyte,0.5
39,313,1.0,0.0,0.0,,,,,,0.0
40,313,0.051118210862619806,0.29112817959131665,0.0,Vascular,1.0,,,Vascular,1.0
41,309,0.22653721682847897,0.7719258813233177,0.0,Vascular,0.9916317991631799,,,Vascular,0.9916317991631799
42,254,0.011811023622047244,0.0925731925052082,0.0,Neuronal IPC,0.7211155378486056,,,Neuronal IPC,0.7211155378486056
43,218,0.0045871559633027525,0.04223653835283452,0.0,Miscellaneous,0.41935483870967744,,,Miscellaneous,0.41935483870967744
44,174,0.0,0.0,0.0,Hippocampal CA1-3,0.6839080459770115,,,Hippocampal CA1-3,0.6839080459770115
45,145,0.23448275862068965,0.7857442778261532,0.0,Splatter,0.990990990990991,,,Splatter,0.990990990990991
46,125,0.448,0.992183779438731,0.0,Neuroblast,0.6811594202898551,,,Neuroblast,0.6811594202898551
